Date;"SZ173 - Kraftliner 175g del FR
EUR/MT ";"SZ176 - Testliner 2 ave del FR
EUR/MT ";"EX24 - Pulp NBSK del Eur
EUR/MT ";"SZ178 - Fluting waste based ave del FR
EUR/MT ";SW90 - Cartonboard GD2 coat del FR
01.01.2011;635;453;720;420;EUR/MT 
01.02.2011;635;493;730;460;739,5
01.03.2011;635;493;745;460;747
01.04.2011;625;523;785;490;762
01.05.2011;625;523;770;493;770
01.06.2011;625;523;775;493;770
01.07.2011;625;503;785;478;770
01.08.2011;625;498;800;473;770
01.09.2011;605;483;805;465;770
01.10.2011;590;458;795;450;770
01.11.2011;578;448;780;435;755
01.12.2011;558;428;760;415;671
01.01.2012;548;408;770;395;655,5
01.02.2012;548;468;815;455;655,5
01.03.2012;578;488;855;475;655,5
01.04.2012;578;488;870;475;648
01.05.2012;608;468;880;455;617,5
01.06.2012;608;448;880;435;617,5
01.07.2012;608;423;915;410;617,5
01.08.2012;608;423;950;410;495,5
01.09.2012;638;443;1015;430;495,5
01.10.2012;638;453;1045;440;495,5
01.11.2012;638;443;1050;430;533,5
01.12.2012;638;443;1065;420;495,5
01.01.2013;638;443;1055;420;503,5
01.02.2013;638;473;1070;450;450
01.03.2013;638;473;1055;450;465
01.04.2013;673;473;1030;450;465
01.05.2013;673;473;1000;450;465
01.06.2013;673;465;970;450;511
01.07.2013;673;465;945;450;526
01.08.2013;663;505;925;490;556,5
01.09.2013;655;505;895;490;556,5
01.10.2013;655;505;850;490;556,5
01.11.2013;648;525;805;510;572
01.12.2013;635;525;770;510;572
01.01.2014;625;525;745;510;572
01.02.2014;620;525;740;510;579
01.03.2014;620;525;735;510;567,5
01.04.2014;620;515;735;510;567,5
01.05.2014;620;495;735;510;567,5
01.06.2014;620;488;755;510;567,5
01.07.2014;620;470;755;505;567,5
01.08.2014;620;500;765;505;556,5
01.09.2014;650;500;780;535;556,5
01.10.2014;650;500;745;535;556,5
01.11.2014;650;500;745;535;556,5
01.12.2014;650;500;710;535;556,5
01.01.2015;650;500;705;535;556,5
01.02.2015;650;500;715;535;556,5
01.03.2015;650;500;735;535;541
01.04.2015;650;500;740;535;541
01.05.2015;650;500;770;535;541
01.06.2015;650;500;835;535;541
01.07.2015;650;540;900;575;541
01.08.2015;650;540;985;575;541
01.09.2015;650;540;1055;575;541
01.10.2015;650;540;1095;575;541
01.11.2015;650;540;1095;575;548,5
01.12.2015;650;540;1095;575;575,5
01.01.2016;640;540;1095;575;594,5
01.02.2016;630;540;1085;575;594,5
01.03.2016;620;530;1055;575;594,5
01.04.2016;610;530;1035;565;594,5
01.05.2016;610;520;1060;555;640
01.06.2016;610;510;1100;545;647,5
01.07.2016;620;510;1105;545;647,5
01.08.2016;620;510;1130;545;655,5
01.09.2016;620;510;1165;545;655,5
01.10.2016;620;510;1215;545;655,5
01.11.2016;620;500;1240;535;655,5
01.12.2016;620;500;1225;535;655,5
01.01.2017;620;500;1225;535;655,5
01.02.2017;620;540;1205;575;655,5
01.03.2017;665;560;1180;595;655,5
01.04.2017;665;580;1335;615;655,5
01.05.2017;715;580;1300;615;655,5
01.06.2017;715;580;1295;615;655,5
01.07.2017;765;610;1275;645;655,5
01.08.2017;765;610;1215;645;655,5
01.09.2017;765;610;1185;645;655,5
01.10.2017;765;610;1145;645;655,5
01.11.2017;765;610;1075;645;655,5
01.12.2017;765;610;1055;645;655,5
01.01.2018;765;610;1065;645;655,5
01.02.2018;805;650;1105;685;655,5
01.03.2018;805;650;1145;685;655,5
01.04.2018;805;650;1170;685;655,5
01.05.2018;805;650;1210;685;655,5
01.06.2018;805;650;1250;685;655,5
01.07.2018;805;650;1290;685;655,5
01.08.2018;805;650;1380;685;675,5
01.09.2018;805;650;1450;685;675,5
01.10.2018;805;650;1505;685;675,5
01.11.2018;805;630;1495;665;675,5
01.12.2018;785;630;1455;665;675,5
01.01.2019;780;610;1405;645;675,5
01.02.2019;760;590;1410;625;681,5
01.03.2019;740;570;1410;605;681,5
01.04.2019;720;550;1420;585;681,5
01.05.2019;700;530;1430;565;681,5
01.06.2019;700;530;1455;565;681,5
01.07.2019;700;530;1420;565;671,5
01.08.2019;700;530;1420;565;671,5
01.09.2019;690;530;1410;565;671,5
01.10.2019;678;520;1350;555;671,5
01.11.2019;668;515;1285;550;671,5
01.12.2019;648;515;1280;550;671,5
01.01.2020;648;505;1270;540;671,5
01.02.2020;648;505;1280;540;671,5
01.03.2020;648;535;1290;570;671,5
01.04.2020;683;535;1325;570;671,5
01.05.2020;683;535;1365;570;671,5
01.06.2020;683;535;1395;570;671,5
01.07.2020;663;505;;540;671,5
01.08.2020;653;490;;525;657,5
01.09.2020;653;490;;525;657,5
01.10.2020;653;520;;555;657,5
01.11.2020;680;540;;575;657,5
01.12.2020;697;570;;605;657,5
01.01.2021;697;590;;625;657,5
01.02.2021;747;620;;655;657,5
01.03.2021;747;640;;675;657,5
01.04.2021;797;690;;725;657,5
01.05.2021;797;690;;725;657,5
01.06.2021;847;720;;755;657,5
01.07.2021;897;750;;785;647,5
01.08.2021;897;750;;785;647,5
01.09.2021;897;780;;815;647,5
01.10.2021;947;800;;835;522,5
01.11.2021;947;850;;885;522,5
01.12.2021;997;850;;885;522,5
01.01.2022;997;850;;885;522,5
01.02.2022;997;850;;885;522,5
01.03.2022;997;850;;885;522,5
01.04.2022;1060;950;;980;540
01.05.2022;1059,5;950;;985;540
01.06.2022;1059,5;950;;985;540
01.07.2022;1059,5;950;;985;560
01.08.2022;1059,5;950;;985;560
01.09.2022;1059,5;950;;985;560
01.10.2022;1029,5;950;;985;560
01.11.2022;1004,5;890;;925;560
01.12.2022;974,5;820;;855;560
01.01.2023;944,5;770;;805;560
01.02.2023;894,5;720;;755;590
01.03.2023;844,5;670;;755;590
01.04.2023;814,5;640;;675;590
01.05.2023;814,5;640;;675;590
01.06.2023;814,5;640;;675;595
01.07.2023;814,5;640;;675;630
01.08.2023;814,5;640;;675;630
01.09.2023;814,5;640;;675;630
01.10.2023;814,5;640;;675;630
01.11.2023;814,5;640;;675;630
01.12.2023;804,5;620;;655;630
01.01.2024;784,5;610;;645;630
01.02.2024;784,5;610;;645;630
01.03.2024;784,5;610;;645;630
01.04.2024;844,5;670;;705;630
01.05.2024;844,5;670;;705;630
01.06.2024;884,5;710;;745;630
01.07.2024;884,5;710;;745;630
01.08.2024;924,5;750;;785;630
01.09.2024;924,5;750;;785;630
01.10.2024;924,5;730;;765;630
01.11.2024;904,5;710;;745;630
01.12.2024;884,5;690;;725;630
01.01.2025;864,5;670;;705;630
01.02.2025;864,5;730;;765;630
01.03.2025;924,5;730;;765;600
01.04.2025;924,5;730;;765;585
01.05.2025;924,5;770;;805;585
01.06.2025;964,5;770;;805;585
01.07.2025;959,5;730;;765;585
01.08.2025;939,5;700;;735;575
01.09.2025;919,5;680;;715;575
01.10.2025;919,5;680;;715;575
01.11.2025;919,5;680;;715;575
01.12.2025;919,5;680;;715;565
01.01.2026;904,5;660;;695;565
01.02.2026;904,5;660;;695;565
;;;;;575
;;;;;605
;;;;;615
;;;;;645
;;;;;645
;;;;;645
;;;;;645
;;;;;645
;;;;;695
;;;;;695
;;;;;695
;;;;;695
;;;;;695
;;;;;695
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;725
;;;;;715
;;;;;715
;;;;;715
;;;;;715
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;722,5
;;;;;712,5
;;;;;712,5
;;;;;747,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;767,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;797,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;827,5
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;830
;;;;;825
;;;;;825
;;;;;825
;;;;;825
;;;;;865
;;;;;865
;;;;;865
;;;;;865
;;;;;860
;;;;;855
;;;;;855
;;;;;855
;;;;;855
;;;;;895
;;;;;895
;;;;;925
;;;;;945
;;;;;955
;;;;;1015
;;;;;1015
;;;;;1035
;;;;;1115
;;;;;1140
;;;;;1190
;;;;;1345
;;;;;1345
;;;;;1432,5
;;;;;1495
;;;;;1495
;;;;;1495
;;;;;1525
;;;;;1525
;;;;;1525
;;;;;1525
;;;;;1525
;;;;;1525
;;;;;1525
;;;;;1495
;;;;;1495
;;;;;1495
;;;;;1495
;;;;;1445
;;;;;1410
;;;;;1410
